ID,city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance
133,1,57,2,2,2,16,acept,not furnished,R$510,"R$1,690",R$11,R$22
134,1,65,2,1,1,1,acept,not furnished,R$100,"R$1,400",R$84,R$18
135,1,35,2,1,1,-,acept,not furnished,R$125,"R$2,100",R$0,R$32
136,0,51,1,2,1,16,not acept,not furnished,R$703,"R$2,100",R$150,R$27
137,0,70,2,3,1,7,acept,not furnished,"R$1,196","R$2,004",R$0,R$26
138,1,90,2,1,1,-,acept,not furnished,Incluso,"R$1,500",R$0,R$23
139,1,320,3,4,3,8,acept,not furnished,"R$3,400","R$6,800",R$1,R$87
140,1,250,7,5,2,-,acept,not furnished,R$0,"R$12,750","R$1,045",R$192
141,1,70,2,1,1,6,acept,not furnished,R$660,"R$3,800",R$45,R$49
142,1,169,4,6,3,7,acept,furnished,"R$2,560","R$10,000",R$734,R$127
143,1,33,1,1,0,1,not acept,not furnished,R$338,"R$1,100",R$63,R$14
144,1,225,4,4,3,7,acept,not furnished,"R$2,800","R$5,000","R$1,267",R$64
145,1,42,1,1,0,2,acept,furnished,R$0,"R$3,256",R$0,R$42
146,1,120,3,4,1,-,not acept,not furnished,R$0,"R$4,000",R$4,R$61
147,1,70,3,2,2,3,not acept,not furnished,R$750,"R$1,500",R$148,R$20
148,1,90,1,1,2,-,acept,furnished,R$0,"R$3,200",R$137,R$49
149,1,260,4,5,4,9,acept,furnished,"R$2,014","R$3,300","R$1,000",R$42
150,1,243,3,3,4,10,acept,not furnished,"R$2,678","R$5,500","R$1,950",R$70
151,1,100,1,1,0,-,acept,not furnished,R$0,"R$1,530",R$0,R$12
152,1,240,3,4,3,9,acept,not furnished,"R$3,211","R$5,100","R$1,102",R$65
153,0,45,1,1,1,4,acept,not furnished,R$700,R$870,R$46,R$12
154,1,65,1,1,1,2,acept,furnished,R$680,"R$5,000",R$14,R$64
155,1,47,1,1,0,4,not acept,not furnished,R$100,"R$1,000",R$76,R$13
156,1,60,2,1,0,2,acept,furnished,R$589,"R$3,300",R$65,R$42
157,1,340,4,6,6,-,acept,furnished,Sem info,"R$15,000",R$250,R$226
158,1,500,4,4,0,-,acept,not furnished,R$0,"R$6,000",R$467,R$91
159,1,55,2,1,1,14,acept,not furnished,R$420,"R$1,399",R$0,R$18
160,1,240,3,4,3,3,acept,furnished,"R$3,600","R$4,950","R$1,000",R$63
161,1,65,2,2,1,1,acept,not furnished,R$650,"R$2,315",R$0,R$7
162,1,68,1,1,0,-,not acept,not furnished,R$0,"R$1,213",R$0,R$6
163,1,500,4,4,3,-,acept,not furnished,Sem info,"R$10,800",R$988,R$163
164,1,198,2,2,2,13,acept,not furnished,"R$1,700","R$5,500",R$320,R$70
165,1,62,2,1,1,13,acept,not furnished,R$543,"R$2,200",R$59,R$28
166,1,60,2,2,1,4,acept,not furnished,R$632,"R$2,806",R$25,R$36
167,1,187,3,2,3,-,not acept,furnished,"R$1,700","R$8,400",R$584,R$127
168,1,25,1,1,0,23,acept,not furnished,R$432,"R$2,200",R$45,R$28
169,1,230,3,4,3,-,acept,not furnished,R$0,"R$3,600",R$409,R$55
170,1,17,1,1,0,1,not acept,furnished,R$300,"R$2,400",R$50,R$31
171,1,67,2,2,1,17,acept,not furnished,R$740,"R$2,200",R$170,R$28
172,1,20,1,1,0,1,acept,furnished,Incluso,"R$2,060",R$0,R$27
173,1,118,3,2,2,7,acept,furnished,"R$1,880","R$8,500",R$434,R$108
174,1,43,1,1,1,2,acept,not furnished,R$850,"R$2,430",R$172,R$31
175,1,195,2,3,1,10,acept,not furnished,"R$1,500","R$6,000",R$334,R$77
176,1,141,3,4,3,7,not acept,not furnished,"R$1,646","R$7,500",R$735,R$96
177,1,45,1,1,1,1,not acept,not furnished,R$550,"R$2,300",R$0,R$30
178,1,48,1,1,1,19,acept,not furnished,R$588,"R$1,525",R$0,R$6
179,1,280,3,4,2,3,not acept,not furnished,"R$4,000","R$6,000","R$1,059",R$77
180,1,170,3,2,2,5,not acept,not furnished,"R$2,199","R$5,000",R$423,R$64
181,1,90,3,2,1,-,acept,not furnished,R$0,"R$3,260",R$0,R$50
182,0,35,1,1,1,7,acept,not furnished,R$392,"R$1,100",R$13,R$14
183,1,16,1,1,0,8,not acept,not furnished,R$390,"R$2,300",R$100,R$30
184,0,68,1,1,1,10,not acept,furnished,R$600,"R$1,000",R$48,R$13
185,1,80,3,5,2,4,not acept,not furnished,"R$3,460","R$12,000","R$1,000",R$153
186,1,190,3,2,1,6,acept,furnished,"R$3,040","R$8,000",R$556,R$102
187,1,150,3,4,2,-,not acept,not furnished,R$0,"R$3,400",R$0,R$52
188,1,112,3,3,2,12,acept,furnished,"R$1,100","R$2,670",R$188,R$34
189,1,145,3,4,3,1,not acept,not furnished,"R$1,200","R$6,000",R$750,R$77
190,0,47,1,1,1,8,acept,not furnished,R$560,"R$1,100",R$46,R$14
191,1,128,3,2,1,3,acept,furnished,"R$1,094","R$4,529",R$242,R$58
192,1,250,3,4,4,-,acept,not furnished,R$0,"R$4,500",R$334,R$68
193,1,120,3,1,0,2,acept,not furnished,R$250,"R$1,460",R$0,R$21
194,1,110,2,2,2,-,not acept,not furnished,R$0,"R$2,700",R$300,R$41
195,1,400,2,5,4,-,acept,not furnished,R$0,"R$6,000",R$484,R$91
196,1,35,1,1,1,9,not acept,furnished,"R$1,050","R$2,600",R$317,R$33
197,1,107,2,2,2,18,acept,furnished,"R$1,800","R$12,800",R$417,R$163
198,1,97,2,2,0,1,acept,not furnished,"R$1,200","R$5,600",R$0,R$71
